"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ga0573226_01_6584689_6585621",47.5003251980283,-0.553672987824658,1.98458705003559,-0.278986496366954,0.780255187837401,0.811266920263371
"Ga0573226_01_6585774_6587120",2.28937072394647,-0.764860135364015,3.68335774132271,-0.207652959359128,0.835499949953852,NA
"Ga0573226_01_658679_659146",51.6683944026526,-1.0389637316039,2.18022856712829,-0.476538903887669,0.633690498065126,0.686426556022378
"Ga0573226_01_6587315_6588409",2.19817685406975,-1.21637907832625,3.5072117302346,-0.346822254225548,0.728724857198081,NA
"Ga0573226_01_6588406_6588750",12.5580760246575,-3.33585833657318,3.29861585264361,-1.01129033679376,0.311877489681797,NA
"Ga0573226_01_6589160_6590044",7.05016305767957,0.891971180799776,2.8339126038097,0.314749007997168,0.752952230947689,NA
"Ga0573226_01_6590225_6592201",4.06341030080876,-2.19151719228839,3.10409826308355,-0.706007673259475,0.480183365623719,NA
"Ga0573226_01_659207_659794",31.2344393381172,-5.75835889477187,3.62998999693703,-1.58632913579121,0.112664666313103,NA
"Ga0573226_01_6592299_6593102",3.6405491927674,-2.01653018368157,3.70811766122169,-0.543815047933833,0.586568752625581,NA
"Ga0573226_01_6593182_6594840",16.504393316789,-4.68487566031084,2.80101665153422,-1.67256258821052,0.0944134370043834,NA
"Ga0573226_01_6595052_6595471",16.4019920832417,-4.59448138802244,3.52672857101114,-1.30276013464375,0.192656664773671,NA
"Ga0573226_01_6595488_6596543",1.05525761072121,-0.771865221341193,5.12984283279618,-0.150465666590503,0.88039723641355,NA
"Ga0573226_01_6596698_6597102",12.4414231101147,2.01503672402276,3.27925133911493,0.614480720031244,0.5388977096264,NA
"Ga0573226_01_6597121_6597522",22.0688672181808,-4.22184798179225,2.84543506459632,-1.48372670117187,0.137881439637311,NA
"Ga0573226_01_6597683_6598300",10.2355962537531,0.652275181083381,2.32952199933794,0.280003872583628,0.779474533795123,NA
"Ga0573226_01_6598297_6599610",3.20532782159609,-2.48356382823263,3.84799641154818,-0.645417397162647,0.518656732337196,NA
"Ga0573226_01_6599749_6600885",2.88958065589118,0.692963170095026,3.5150439683336,0.197142105856372,0.84371633422253,NA
"Ga0573226_01_660083_661636",2.26793473630283,-1.77218918570096,3.72237802601943,-0.47609059942686,0.634009833915412,NA
